Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,troughdepth
6/5/2000,-0.055918731,-0.001109262,0.001109262,-0.029526475,0,-0.034390522,-0.037656719,-0.03001893,-0.057032998,0.005437751,0.001086366,0.004371592,0.00849262,-0.039130424,-0.017602215,30.32416706,-6.4375,3.0625,1.64556221,58.50539334,-269.1251471,58.128125,57.4953869,56.24612284,11.90930701,1,0,0.049494949,10.5
6/9/2000,-0.005851392,-0.026483989,0.025317808,0.007017573,0.00464038,-0.008069208,-0.009216655,0.019872074,-0.025144182,0.002293579,0.010268202,0.015231695,0,-0.014051753,-0.019710783,34.5565419,-4,1,1.551927316,55.98687903,-139.5152631,57.10625,56.02083333,53.56210227,15.81805743,0.927419355,0.072580645,0.159498208,10.5
6/15/2000,-0.003384098,0.007914117,0.032298078,0.001173021,0,0.012408507,0.018100042,0.037697211,0.036533743,0.012408507,0.005691535,0.005803847,0.00464038,-0.013544225,0,45.11839813,-1.0625,0.75,1.425095561,52.6875,-35.57174125,56.284375,55.26934524,53.33232955,16.28848214,0.59223301,0.40776699,0.295011657,8.4375
6/20/2000,-0.003302149,0.013274531,0.014582423,-0.003384098,0.015487035,-0.001097093,0.02219847,0.021076765,0.033485271,0.002190581,0.017798023,0,0.012408507,-0.002232144,-0.012134732,51.40918802,3.0625,1,1.363451147,53.369238,28.49973962,55.840625,55.39255952,55.12912067,13.51222935,0.189873418,0.810126582,0.595633116,7.0625
6/22/2000,-0.01754431,0.01423122,-0.003302149,0.013274531,0.004366819,0.009852296,0.023141529,0.006557401,0.029852963,0.01852914,0.015487035,0.002190581,0.017798023,-0.011001211,0,50.08087193,2.9375,1,1.325820122,54.09022906,51.48105032,55.68125,55.61904762,56.41044913,12.18918822,0.265060241,0.734939759,0.805658256,7.25
6/26/2000,-0.021100172,0.006615239,-0.01754431,0.01423122,0.010977059,0.02431059,0.002185793,0.00767127,0.020960503,0.017738824,0.004366819,0.01852914,0.015487035,-0.023451661,-0.00560854,46.29245439,2.375,1.9375,1.368628064,54.80933554,23.59783034,55.55625,55.73511905,57.07112554,11.12294632,0.4375,0.5625,0.783036153,8.0625
6/28/2000,-0.001078167,0.040687305,-0.021100172,0.006615239,0,0.050560219,0.029365895,0.042699426,0.020574629,0.053770494,0.010977059,0.017738824,0.004366819,-0.009693129,-0.00338792,55.82951836,2.4375,0.5625,1.435832362,55.25,123.94755,55.6375,56.19464286,57.56694264,10.84429579,0.1,0.9,0.751013313,5.8125
6/30/2000,-0.012889545,0.010729717,-0.001078167,0.040687305,0.002129926,0.031336978,0.007474674,0.058034893,0.036840569,0.029207052,0,0.053770494,0.010977059,-0.013956211,0,54.41701176,1.6875,0.9375,1.416929434,56.0579,112.7491747,55.821875,56.66994048,58.12320887,9.50558821,0.208333333,0.791666667,0.872738862,5.9375
7/5/2000,-0.030459207,0.052643733,-0.012889545,0.010729717,0.004237294,-0.014690715,0.00849262,0.037699672,0.013837368,0.016529302,0.002129926,0.029207052,0,-0.011745997,0,56.65654784,2.421875,2.75,1.629584563,57.30068152,111.6247032,56.48046875,57.43363095,59.00332251,9.866768505,0.315104167,0.684895833,0.879702597,4.640625
7/10/2000,-0.003179653,-0.002114166,0.00132083,-0.030459207,0.010649728,-0.002116403,0,0.002120892,-0.016807118,0.013648506,0.010537505,0.004237294,0.016529302,-0.001071237,-0.006362694,55.47583498,2,0.75,1.479413187,61,75.28251233,57.24609375,58.09933036,59.71680195,9.438078815,0.369565217,0.630434783,0.707804952,4.875
7/14/2000,-0.030119399,-0.037740328,-0.005277057,0.00845671,0.019155515,-0.047939462,-0.067950662,-0.054302156,-0.041536025,0,0.003123376,0.013648506,0.010649728,-0.010291686,-0.039050515,40.27223912,-3.375,2.5,1.574629257,60.531942,-145.3762499,57.81171875,58.1124256,58.91101461,10.96568337,0.877358491,0.122641509,0.526911859,8.5625
7/21/2000,-0.011547472,-0.002293579,-0.00912207,-0.020225409,0.002306806,-0.011454879,-0.012593183,-0.032864147,-0.001151411,0.002275314,0.002272728,0.002227172,0.040591818,-0.006952519,-0.011454879,37.03034437,-5.25,0.6875,1.437122104,58.04841657,-134.774032,57.33046875,56.74375,54.76900568,14.02312192,0.99137931,0.00862069,0.081204768,9.9375
7/25/2000,-0.004618946,0.00809721,-0.011547472,-0.002293579,0.002229655,0.028234512,0.03628516,0.022523475,0.021385171,0.00114482,0.002306806,0.002275314,0.002272728,-0.036367644,-0.008050647,38.50771091,-5.375,2.125,1.444827222,57.0786938,-86.48884434,57.11484375,56.14568452,53.5941599,13.74536949,0.960784314,0.039215686,0.035976928,9.75
7/31/2000,-0.023784905,-0.002134473,0.063828042,0.018349139,0.006535971,-0.018289913,0.001086366,0.031993904,0.027519623,0.010604553,0.019376279,0.011148387,0.002229655,-0.007679687,-0.004273511,52.00662959,0.9375,1.75,1.616301418,53.97,3.837478785,56.96171875,56.25758929,55.29255817,13.24876732,0.470588235,0.529411765,0.527233115,6.625
8/4/2000,-0.015864955,0.002100841,0.00844778,0.031235711,0.005232874,0.009438979,0.007333715,0.031816045,0.045923713,0.006302542,0.004197278,0.01603455,0.006535971,-0.017999427,-0.002109705,55.61409848,4.8125,1.375,1.482891173,55.00128499,71.73622184,56.875,57.11130952,58.87821361,14.39750816,0.204081633,0.795918367,0.893696968,5.125
8/9/2000,-0.03275402,-0.024404394,0.016913722,-0.015864955,0.010787591,-0.006417134,-0.01912917,-0.022282089,-0.018075984,0.002129926,0.00942909,0.005232874,0.006302542,-0.025262189,-0.007490672,45.96725053,1.3125,2.0625,1.510786956,56.1875,3.36739888,56.715625,57.44315476,59.71038961,13.57026893,0.585858586,0.414141414,0.8075282,7.4375
