Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,d_return
3/3/2000,-0.009168368,0.006540246,0.011881328,0.026919526,0.00389864,0.023623146,0.006506204,0.022296006,0.09375497,0.033945818,0.01297035,0.010554188,0.047296715,-0.01442648,-0.003992021,43.96581991,-1.375,0.875,1.95289739,48.6875,36.56297256,47.03125,46.71517857,45.93794913,19.38454465,0.453125,0.546875,0.528645833,-0.009126467
3/6/2000,-0.006600684,-0.009168368,0.006540246,0.011881328,0.015748357,0,0.019724505,0.002607563,0.018397365,0.00389864,0.033945818,0.01297035,0.010554188,-0.010638398,-0.01442648,42.91468838,0.3125,1.25,1.902690434,48.35375,25.12678654,46.928125,46.73005952,46.37069805,18.20683843,0.4921875,0.5078125,0.558159722,-0.006578947
3/7/2000,0.071550305,-0.006600684,-0.009168368,0.006540246,0.061927554,0.076372979,0.060624622,0.080349127,0.063232185,0.015748357,0.00389864,0.033945818,0.01297035,-0.011803416,-0.010638398,55.69170893,5.3125,3.8125,2.039105403,43.125,147.4700399,47.0375,47.08809524,47.13842262,18.20491045,0.0546875,0.9453125,0.596354167,0.074172185
3/8/2000,0.044612582,0.071550305,-0.006600684,-0.009168368,0.056352937,0.13287929,0.147324715,0.131576358,0.151300863,0.061927554,0.015748357,0.00389864,0.033945818,0,-0.011803416,61.77877722,8,4.0625,2.183633589,43.125,272.9166667,47.28125,47.65595238,48.33570617,19.46629589,0.150537634,0.849462366,0.662093041,0.045622688
3/9/2000,-0.002361276,0.044612582,0.071550305,-0.006600684,0.013056565,0.023867481,0.100393834,0.11483926,0.099090903,0.056352937,0.061927554,0.015748357,0.00389864,-0.015653541,0,61.28864176,9.25,1.5,2.134802618,43.59,193.877551,47.63125,48.18869048,49.72188582,20.48929137,0.161290323,0.838709677,0.770674657,-0.002358491
3/10/2000,0.009411834,-0.002361276,0.044612582,0.071550305,0.014134511,0.021277398,0.032088315,0.108614668,0.123060093,0.013056565,0.056352937,0.061927554,0.015748357,-0.015541257,-0.015653541,62.56792125,9,1.5625,2.093923859,44.0364,169.2626673,47.89375,48.73571429,51.12956169,21.57160029,0.11827957,0.88172043,0.833996042,0.009456265
3/13/2000,-0.034547807,0.009411834,-0.002361276,0.044612582,0.017910927,0.002369669,0.009512557,0.020323473,0.096849826,0.014134511,0.013056565,0.056352937,0.061927554,-0.010902591,-0.015541257,55.41844746,5.75,2.0625,2.091679298,44.464944,115.038115,48.140625,49.08511905,52.15463203,22.21510008,0.274193548,0.725806452,0.849957064,-0.033957845
3/14/2000,-0.00852105,-0.034547807,0.009411834,-0.002361276,0.001202646,0.00240674,-0.013134517,-0.00599163,0.004819286,0.017910927,0.014134511,0.013056565,0.056352937,-0.021898685,-0.010902591,53.81981267,4.0625,1.1875,2.027095063,44.87634624,85.42423718,48.325,49.36934524,52.75798701,22.49098334,0.311827957,0.688172043,0.812425329,-0.008484848
3/15/2000,0.031290158,-0.00852105,-0.034547807,0.009411834,0.005865119,0.028471674,0.029675768,0.014134511,0.021277398,0.001202646,0.017910927,0.014134511,0.013056565,-0.028641576,-0.021898685,58.59714236,5.125,2.3125,2.047481129,45.27129239,105.3138932,48.59375,49.79077381,53.21820076,23.25654906,0.174863388,0.825136612,0.775672288,0.031784841
3/16/2000,0.018779895,0.031290158,-0.00852105,-0.034547807,0,0.023256862,0.045863417,0.047067511,0.031526254,0.005865119,0.001202646,0.017910927,0.014134511,-0.027973852,-0.028641576,61.25353877,5.8125,1.625,2.017303906,45.65044069,115.0835677,48.81875,50.28184524,53.67378517,24.27016944,0.087431694,0.912568306,0.77341011,0.018957346
