Date,Open,High,Low,Close,Volume,Adjusted,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,RSI,Momentum,TR,ATR,SAR,MFI,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,peak
2000-01-03,12.862573,12.862573,12.52966,12.52966,57616.0,5.006402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0262231428935626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.52966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000-01-04,13.104692,13.104692,12.892838,12.983633,94582.0,5.187793,0.035590930591679636,0.0,0.0,0.0,0.0,0.018648557462127305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01629837062718085,-0.0262231428935626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.53631826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-05,12.953368,13.134957,12.832308,13.134957,198456.0,5.248257,0.011587585180710966,0.035590930591679636,0.0,0.0,0.013921317884506748,0.002306815416700576,0.020955372878828087,0.0,0.0,0.0,0.0,0.0,0.0,-0.009389778221537528,-0.01629837062718085,-0.0262231428935626,0.0,0.0,0.0,0.0,0.0,0.0,12.5590532096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-06,13.013898,13.074427,12.771779,12.923103,40889.0,5.163606,-0.016260509639084028,0.011587585180710966,0.035590930591679636,0.0,0.004640321570059534,0.009302353347498427,-0.0023121491203077107,0.016336408341819604,0.0,0.013921317884506748,0.0,0.0,0.0,-0.018779892102371146,-0.009389778221537528,-0.01629837062718085,-0.0262231428935626,0.0,0.0,0.0,0.0,0.0,12.593607437024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2000-01-07,13.316546,13.800784,13.316546,13.800784,247605.0,5.514297,0.06570876234681523,-0.016260509639084028,0.011587585180710966,0.035590930591679636,0.035718079967182674,0.058707538814799155,0.0633695705922379,0.05175506812443184,0.07040362558655912,0.004640321570059534,0.013921317884506748,0.0,0.0,0.0,-0.018779892102371146,-0.009389778221537528,-0.01629837062718085,-0.0262231428935626,0.0,0.0,0.0,0.0,12.62608841080256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-10,13.679725,13.800784,13.58893,13.679725,86115.0,5.465925,-0.008810592490476105,0.06570876234681523,-0.016260509639084028,0.011587585180710966,0.008810592490476093,0.035718079967182674,0.058707538814799155,0.0633695705922379,0.05175506812443184,0.035718079967182674,0.004640321570059534,0.013921317884506748,0.0,-0.0066593189533313045,0.0,-0.018779892102371146,-0.009389778221537528,-0.01629837062718085,0.0,0.0,0.0,0.0,12.720064057938355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,13.195487,13.316546,13.044163,13.074427,56171.0,5.224071,-0.04525662475426353,-0.008810592490476105,0.06570876234681523,-0.016260509639084028,0.009132444982588325,-0.02690748747670675,0.0,0.02298945884761624,0.027651490625055224,0.008810592490476093,0.035718079967182674,0.004640321570059534,0.013921317884506748,-0.01153412317805721,-0.0066593189533313045,0.0,-0.018779892102371146,-0.009389778221537528,0.0,0.0,0.0,0.0,12.806521653303287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2000-01-12,13.134957,13.195487,12.953368,13.104692,133612.0,5.236164,0.002312149120307658,-0.04525662475426353,-0.008810592490476105,0.06570876234681523,0.004597727757960315,0.0,-0.036039932459294884,-0.009132444982588181,0.0138570138650281,0.009132444982588325,0.008810592490476093,0.035718079967182674,0.004640321570059534,-0.013921317884506752,-0.01153412317805721,-0.0066593189533313045,0.0,-0.018779892102371146,0.0,0.0,0.0,0.0,12.886062641039024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2000-01-13,13.225752,13.225752,13.013898,13.195487,76409.0,5.272441,0.006904543174660735,0.002312149120307658,-0.04525662475426353,-0.008810592490476105,0.0,0.006888688695648055,0.0022909609376879124,-0.03374897152160701,-0.006841484044900312,0.004597727757960315,0.009132444982588325,0.008810592490476093,0.035718079967182674,-0.01614797480271601,-0.013921317884506752,-0.01153412317805721,-0.0066593189533313045,0.0,0.0,0.0,0.0,0.0,12.959240349755902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-14,13.165222,13.195487,13.134957,13.195487,17553.0,5.272441,0.0,0.006904543174660735,0.002312149120307658,-0.04525662475426353,0.0022962214937405578,-0.0022909609376878847,0.004597727757960315,0.0,-0.036039932459294884,0.0,0.004597727757960315,0.009132444982588325,0.008810592490476093,-0.002301506264219725,-0.01614797480271601,-0.013921317884506752,-0.01153412317805721,-0.0066593189533313045,0.0,0.0,0.0,0.0,13.02656384177543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
