Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,trough
3/3/2000,-0.031748698,-0.008711941,0.034029749,0.0051414,0,-0.035135358,-0.012690526,0.015444322,0.021950526,0,0.028591133,0.017995344,0.023226851,-0.028499338,-0.026235109,45.46907304,1.6875,2.4375,1.77857267,50.77,-7.039962138,48.415625,48.25386905,48.45940476,16.10798555,0.445652174,0.554347826,0.615240767,0
3/6/2000,-0.019544596,-0.031748698,-0.008711941,0.034029749,0.003903713,-0.016742181,-0.051877539,-0.029432707,-0.001297859,0,0,0.028591133,0.017995344,-0.014445425,-0.028499338,42.30331215,1.5,1.1875,1.736353193,50.5492,-41.70422451,48.325,48.16666667,48.75581169,15.59080411,0.608695652,0.391304348,0.640953717,0
3/7/2000,-0.01457945,-0.019544596,-0.031748698,-0.008711941,0.002574004,0.014239723,-0.006406172,-0.04154153,-0.019096697,0.003903713,0,0,0.028591133,-0.035413537,-0.014445425,40.09847761,0.25,1.8125,1.741792251,50.337232,-49.35696906,48.25,48.02261905,48.73113095,14.80605533,0.72826087,0.27173913,0.559880006,1
3/8/2000,0.044393712,-0.01457945,-0.019544596,-0.031748698,0.055750015,0.021670701,0.03333642,0.012690526,-0.022444832,0.002574004,0.003903713,0,0,0,-0.035413537,48.95434887,2.125,2.75,1.81380709,50.13374272,11.86711244,48.190625,48.08809524,48.73561959,13.96710419,0.38372093,0.61627907,0.474272554,0
3/9/2000,0.027709581,0.044393712,-0.01457945,-0.019544596,0.008722797,0.072010536,0.037931222,0.049596941,0.028951047,0.055750015,0.002574004,0.003903713,0,-0.02022825,0,53.72192032,3.4375,1.4375,1.786928012,45.25,100.1688239,48.18125,48.29017857,48.93858225,13.63132324,0.127906977,0.872093023,0.472980564,0
3/10/2000,0.023328252,0.027709581,0.044393712,-0.01457945,0.02301737,0.044070779,0.107358518,0.073279205,0.084944923,0.008722797,0.055750015,0.002574004,0.003903713,-0.004914015,-0.02022825,57.42065393,4.375,1.875,1.793218869,45.25,196.6895084,48.209375,48.60625,49.39056548,14.18335656,0.111111111,0.888888889,0.601854973,0
3/13/2000,0.015653541,0.023328252,0.027709581,0.044393712,0,0.038466281,0.05951969,0.122807429,0.088728116,0.02301737,0.008722797,0.055750015,0.002574004,-0.014252023,-0.004914015,59.78875214,3.8125,1.5,1.772274664,45.5275,214.1623489,48.409375,48.99702381,50.03769751,15.035546,0.102803738,0.897196262,0.755061153,0
3/14/2000,0.010695289,0.015653541,0.023328252,0.027709581,0.012888286,0.012888286,0.051354567,0.072407976,0.135695715,0,0.02301737,0.008722797,0.055750015,-0.002361276,-0.014252023,61.38973735,4.125,1.375,1.743897902,45.97585,192.8304904,48.621875,49.42232143,50.78306006,16.10242295,0.113043478,0.886956522,0.85649787,0
3/15/2000,0.092512373,0.010695289,0.015653541,0.023328252,0.052817556,0.095524565,0.095524565,0.133990846,0.155044255,0.012888286,0,0.02301737,0.008722797,0,-0.002361276,72.23595893,7.5625,5.4375,2.007726623,46.592782,256.5110565,49.0875,50.31547619,52.06776515,18.46591299,0.027173913,0.972826087,0.898688746,0
3/16/2000,0.021322769,0.092512373,0.010695289,0.015653541,0,0.07297739,0.115684399,0.115684399,0.15415068,0.052817556,0.012888286,0,0.02301737,-0.052842481,0,74.14379611,9.25,3.0625,2.083067579,47.7647538,226.0329245,49.6875,51.28333333,53.78058442,20.91656933,0.019704433,0.980295567,0.918899858,0
3/17/2000,-0.047525142,0.021322769,0.092512373,0.010695289,0.038700241,-0.032019811,0.040957579,0.083664588,0.083664588,0,0.052817556,0.012888286,0,0,-0.052842481,63.76291625,8.0625,3.8125,2.206598466,49.17298334,148.3625139,50.175,51.93214286,55.37022457,22.53610146,0.236453202,0.763546798,0.923747277,0
3/20/2000,-0.011123585,-0.047525142,0.021322769,0.092512373,0.010989122,0.031079083,-0.03964097,0.03333642,0.076043429,0.038700241,0,0.052817556,0.012888286,-0.012229169,0,61.6502721,8.375,1.3125,2.14273429,50.41222534,121.3975348,50.66875,52.475,56.63441558,24.03995273,0.285714286,0.714285714,0.890541634,1
3/21/2000,0.054420391,-0.011123585,-0.047525142,0.021322769,0.026811257,0.043249984,0.063339945,-0.007380107,0.065597282,0.010989122,0.038700241,0,0.052817556,0,-0.012229169,67.45630768,12.1875,3.1875,2.217360412,51.5027583,141.6172137,51.290625,53.26845238,57.81376623,25.90225861,0.039408867,0.960591133,0.845913353,0
3/22/2000,-0.010649728,0.054420391,-0.011123585,-0.047525142,0.005260401,0.035241234,0.05167996,0.071769921,0.001049869,0.026811257,0.010989122,0.038700241,0,-0.025642431,0,65.32611487,9.4375,1.8125,2.188441811,52.46242731,122.5951544,51.86875,53.94315476,58.76216991,27.74606031,0.093137255,0.906862745,0.830921257,0
3/23/2000,-0.009682701,-0.010649728,0.054420391,-0.011123585,0.017391743,-0.021322769,0.008658063,0.025096789,0.04518675,0.005260401,0.026811257,0.010989122,0.038700241,-0.001097093,-0.025642431,63.38604575,7.5,1.4375,2.13480311,53.45643748,92.67794552,52.415625,54.50922619,59.44421807,28.88115124,0.137254902,0.862745098,0.861151357,0
3/24/2000,-0.001081666,-0.009682701,-0.010649728,0.054420391,0.015848192,0.045023681,0.006309169,0.036290001,0.052728728,0.017391743,0.005260401,0.026811257,0.010989122,-0.022618089,-0.001097093,63.16159265,6.25,2.25,2.14303146,54.31128624,92.76784671,52.946875,55.0172619,59.84735119,30.3493632,0.146341463,0.853658537,0.881689439,0
3/27/2000,-0.020777128,-0.001081666,-0.009682701,-0.010649728,0.014200129,-0.018270256,0.010905233,-0.027809279,0.002171554,0.015848192,0.017391743,0.005260401,0.026811257,-0.01106206,-0.022618089,58.89438173,4.25,1.5625,2.101564927,55.16148044,60.55683408,53.35,55.36160714,59.83810877,30.91319018,0.240196078,0.759803922,0.869963657,0
3/28/2000,-0.015590516,-0.020777128,-0.001081666,-0.009682701,0.01355953,-0.020000667,-0.052471052,-0.023295563,-0.062010075,0.014200129,0.015848192,0.017391743,0.005260401,-0.011441772,-0.01106206,55.89767725,2.8125,2.25,2.112167432,59.625,28.7853266,53.696875,55.58422619,59.44845238,30.32116427,0.368421053,0.631578947,0.81605726,1
3/29/2000,0.005595986,-0.015590516,-0.020777128,-0.001081666,0.017877571,0.026937656,-0.006622541,-0.039092926,-0.009917437,0.01355953,0.014200129,0.015848192,0.017391743,-0.01133799,-0.011441772,56.74420462,-2,1.625,2.077369758,59.625,34.05486724,53.975,55.80357143,58.83652868,30.02791358,0.408450704,0.591549296,0.744909014,0
3/30/2000,-0.019155515,0.005595986,-0.015590516,-0.020777128,0.007851975,0.008978736,0.018038821,-0.015521376,-0.047991761,0.017877571,0.01355953,0.014200129,0.015848192,-0.010186845,-0.01133799,53.01800174,-4.3125,1.0625,2.004879061,59.4125,21.46311971,54.221875,55.8952381,58.03487284,29.75560937,0.63559322,0.36440678,0.646167621,1
3/31/2000,0.042322575,-0.019155515,0.005595986,-0.015590516,0.014169174,0.039740329,0.040867089,0.049927174,0.016366977,0.007851975,0.017877571,0.01355953,0.014200129,-0.007713537,-0.010186845,59.43096842,0.8125,2.8125,2.062566271,59.2085,54.28011517,54.665625,56.18958333,57.47236742,30.10936555,0.342592593,0.657407407,0.575981186,0
