Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,peak
3/3/2000,0.041561669,0.012041759,-0.013129246,0.041048502,0.035755663,0.076176269,0.063987722,0.076176269,0.069509547,0.025317793,0.012041759,0.031818388,0.00221236,-0.00644475,-0.001115495,58.88061251,7.499638,3.567788,3.378407462,60.20669392,135.0058885,64.7116649,65.40216536,67.6832606,17.89377897,0.059171507,0.940828493,0.761637179,0
3/6/2000,0.030834863,0.041561669,0.012041759,-0.013129246,0.028559329,0.097837642,0.138258248,0.126069701,0.138258248,0.035755663,0.025317793,0.012041759,0.031818388,-0.017128827,-0.00644475,61.80591165,10.776176,5.242462,3.511554214,60.82321337,202.8118355,64.9410228,66.09041203,68.74353938,19.43901327,0.18181829,0.81818171,0.81433083,1
3/7/2000,-0.026668247,0.030834863,0.041561669,0.012041759,0,0.005976154,0.075254467,0.115675073,0.103486526,0.028559329,0.035755663,0.025317793,0.012041759,-0.046756568,-0.017128827,57.95758856,5.679336,3.349358,3.49996877,61.95706518,137.4210541,65.2978015,66.57651872,69.6358901,20.27055845,0.298245752,0.701754248,0.830206829,0
3/8/2000,0.031716214,-0.026668247,0.030834863,0.041561669,0.028313304,-0.003980159,0.001995995,0.071274308,0.111694914,0,0.028559329,0.035755663,0.025317793,-0.011346205,-0.046756568,61.07001287,4.951218,2.985291,3.463206073,63.00020884,136.2187576,65.5599246,67.24361524,70.54381167,21.04270754,0.168181912,0.831818088,0.81847008,0
3/9/2000,0.01598437,0.031716214,-0.026668247,0.030834863,0.033800339,0.048057242,0.015763779,0.021739933,0.091018246,0.028313304,0,0.028559329,0.035755663,-0.003037991,-0.011346205,62.60861415,4.73278,2.694038,3.408265496,63.95990102,145.5353976,66.16062365,67.99669938,71.4994487,22.04294678,0.09545459,0.90454541,0.805626249,1
3/10/2000,-0.019010105,0.01598437,0.031716214,-0.026668247,0.024097469,0.019029048,0.033285951,0.000992488,0.006968642,0.033800339,0.028313304,0,0.028559329,0,-0.003037991,59.59643587,5.242463,1.820297,3.294839175,64.84281782,112.7610106,66.56108945,68.56081884,72.30672876,22.91233881,0.250000215,0.749999785,0.808470564,0
3/13/2000,-0.014242301,-0.019010105,0.01598437,0.031716214,0.039139881,0.006078976,0.001010556,0.015267458,-0.017026005,0.024097469,0.033800339,0.028313304,0,-0.005265927,0,57.40488177,6.771522,3.130913,3.283130162,65.65510127,72.62596215,66.91058705,68.98971641,72.87256012,22.67197644,0.364864738,0.635135262,0.801573499,0
3/14/2000,-0.039712709,-0.014242301,-0.019010105,0.01598437,0.008281635,0.018731037,-0.014329867,-0.019398288,-0.005141385,0.039139881,0.024097469,0.033800339,0.028313304,-0.025264531,-0.005265927,51.83324219,1.310615,2.766861,3.246253794,66.40240205,37.68466489,67.2163972,69.12181793,72.84685507,22.21113786,0.621621935,0.378378065,0.726617428,0
3/15/2000,-0.045809553,-0.039712709,-0.014242301,-0.019010105,0.006528784,-0.042469272,-0.032019871,-0.065080775,-0.070149195,0.008281635,0.039139881,0.024097469,0.033800339,-0.022076028,-0.025264531,46.46524639,-0.873749,3.058105,3.232814594,74.996361,-31.586947,67.42027065,68.93354658,72.0649103,20.76460939,0.905405785,0.094594215,0.573477901,0
3/16/2000,0.041536101,-0.045809553,-0.039712709,-0.014242301,0.043296867,0.030109786,-0.01888827,-0.008438869,-0.041499773,0.006528784,0.008281635,0.039139881,0.024097469,-0.008888948,-0.022076028,51.37215991,1.092179,3.49498,3.251540694,74.996361,-10.92780094,67.8607833,68.98936928,71.11496873,19.87474283,0.648648588,0.351351412,0.410660483,0
