Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,peakheight
6/1/2000,0.001109262,-0.029526475,0.003237995,0.009777373,0.001086366,0.008724156,-0.018289913,0.007629465,0.009820046,0.004371592,0.00849262,0.013043663,0.016313575,-0.020868412,-0.013230623,40.08892206,-2.625,1.25,1.553802918,59.01977573,-148.0398671,58.434375,58.18467262,57.53211039,10.47081679,0.984848485,0.015151515,0.213172948,29.105
6/7/2000,0.025317808,0.007017573,-0.055918731,-0.001109262,0.010268202,0.039356931,-0.005659325,-0.040049846,-0.043316044,0.015231695,0,0.005437751,0.001086366,-0.001147447,-0.004733737,39.72663585,-3.6875,1.4375,1.59202813,57.14853168,-131.6251021,57.59140625,56.79650298,54.72160714,13.93029709,0.701612903,0.298387097,0.061719344,27.73
6/14/2000,0.007914117,0.032298078,0.001173021,-0.005851392,0.012408507,0.018100042,0.037697211,0.036533743,0.023824156,0.005691535,0.005803847,0.00464038,0.002293579,0,-0.009174376,45.8620464,-0.8125,0.6875,1.477025989,52.6875,-38.1936966,56.46875,55.37946429,53.03526515,16.57185031,0.563106796,0.436893204,0.191564882,28.23
6/19/2000,0.013274531,0.014582423,-0.003384098,0.007914117,0.002190581,0.025486144,0.024364439,0.036772946,0.042464481,0.017798023,0,0.012408507,0.005691535,-0.012134732,-0.003372684,52.31382563,3.625,1,1.391408928,53.04265,29.71300429,55.984375,55.32559524,54.46056006,14.30878399,0.151898734,0.848101266,0.486897983,29.605
6/21/2000,0.01423122,-0.003302149,0.013274531,0.014582423,0.01852914,0.031818373,0.015234245,0.038529807,0.037408102,0.015487035,0.002190581,0.017798023,0,0,-0.002232144,55.03758325,2.5,1.1875,1.350883208,53.66969896,73.35490831,55.78125,55.55059524,55.83873106,12.94061087,0.072289157,0.927710843,0.729777329,30.23
6/23/2000,0.006615239,-0.01754431,0.01423122,-0.003302149,0.017738824,-0.004385972,0.001099505,0.014388737,-0.002195391,0.004366819,0.01852914,0.015487035,0.002190581,-0.00560854,-0.011001211,51.83274298,3.625,1.3125,1.324868685,54.46870616,37.47360543,55.6625,55.7327381,56.86545184,11.77778305,0.192771084,0.807228916,0.836510599,29.605
6/27/2000,0.040687305,-0.021100172,0.006615239,-0.01754431,0.053770494,0.03257617,0.045909701,0.023784905,0.029270382,0.010977059,0.017738824,0.004366819,0.01852914,-0.00338792,-0.023451661,56.12707464,2.9375,3.25,1.503011774,55.11590199,92.25413403,55.55625,55.96785714,57.31114177,10.97846086,0.088888889,0.911111111,0.761709802,30.73
6/29/2000,0.010729717,-0.001078167,0.040687305,-0.021100172,0.029207052,0.005344748,0.055904967,0.034710643,0.048044174,0,0.053770494,0.010977059,0.017738824,0,-0.009693129,58.21513372,3.25,1.6875,1.453808621,55.64,117.3118024,55.746875,56.47321429,57.88001082,10.10239072,0.010869565,0.989130435,0.828299187,31.2925
7/3/2000,0.052643733,-0.012889545,0.010729717,-0.001078167,0.016529302,0.039712637,0.068919689,0.045057386,0.095617604,0.002129926,0.029207052,0,0.053770494,0,-0.013956211,64.73969338,4.0625,3.1875,1.54339876,56.488636,205.0118203,56.20625,57.15714286,58.59250812,10.36005166,0.010416667,0.989583333,0.916824342,33.6675
7/6/2000,0.00132083,-0.030459207,0.052643733,-0.012889545,0.010537505,0.012658397,-0.006269613,0.016913722,0.046120774,0.004237294,0.016529302,0.002129926,0.029207052,-0.001059884,-0.011745997,56.90418379,1.6875,0.6875,1.562292809,57.96655885,117.9379274,56.68984375,57.69144345,59.34320617,9.69972835,0.315217391,0.684782609,0.843976449,31.9175
7/11/2000,0.00845671,-0.003179653,-0.002114166,0.00132083,0.013648506,0.026414637,0.013648506,0.015764909,0.0178858,0.010649728,0.013648506,0.010537505,0.004237294,-0.002116403,-0.001071237,57.37368405,3.6875,1.0625,1.449633674,61,100.302003,57.54921875,58.30208333,59.81571834,9.738764307,0.282608696,0.717391304,0.669094706,32.105
7/17/2000,0.017957834,-0.030119399,-0.037740328,-0.005277057,0.040591818,0.029150046,-0.037944932,-0.057956131,-0.044307625,0.019155515,0,0.003123376,0.013648506,-0.001151411,-0.010291686,44.7214624,-1.625,2.3125,1.62733431,60.03938664,-115.1723644,57.81484375,57.9577381,58.15585363,11.45576638,0.712962963,0.287037037,0.380402712,28.9175
7/24/2000,0.00809721,-0.011547472,-0.002293579,-0.00912207,0.00114482,0.009195467,-0.004566218,-0.005704522,-0.025975486,0.002306806,0.002275314,0.002272728,0.002227172,-0.008050647,-0.006952519,39.39915254,-4.625,0.8125,1.392506239,57.53260659,-107.0235737,57.19921875,56.45037202,54.11441288,14.48293131,0.921568627,0.078431373,0.043552116,26.98
