Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,trough
3/3/2000,-0.003091205,0.018692208,-0.006269638,0.003129906,0.006191995,0.006191995,0.025001298,0.015552475,0.018692208,0.012345784,0.00630909,0.003129906,0.006269638,-0.012500213,-0.006230575,33.0491101,-0.817151,0.18159,0.324542265,9.86635,-93.71779557,10.4368433,10.13224891,9.581556468,42.55913336,0.799999853,0.200000147,0.133192947,0
3/6/2000,-0.073869934,-0.003091205,0.018692208,-0.006269638,0,-0.037979296,-0.037979296,-0.019169993,-0.028618816,0.006191995,0.012345784,0.00630909,0.003129906,-0.032789848,-0.012500213,26.0068865,-1.119801,0.696093,0.351081603,9.805821,-150.0499926,10.31881025,10.0029746,9.481129484,42.94674173,1,0,0.150392839,1
3/7/2000,0.058268931,-0.073869934,-0.003091205,0.018692208,0.015798076,0.028618816,-0.00936048,-0.00936048,0.009448823,0,0.006191995,0.012345784,0.00630909,-0.003189808,-0.032789848,37.27210809,-0.847417,0.575033,0.367078131,9.654496,-89.5943606,10.23255535,9.93682419,9.412674494,42.35016274,0.653846105,0.346153895,0.164387535,0
3/8/2000,0,0.058268931,-0.073869934,-0.003091205,0.015698869,0.022048121,0.034868862,-0.003110435,-0.003110435,0.015798076,0,0.006191995,0.012345784,-0.006349253,-0.003189808,37.27210809,-0.363179,0.211854,0.355990693,9.079463,-77.81862007,10.13722095,9.878888538,9.374565587,41.5924159,0.639999894,0.360000106,0.186058962,1
3/9/2000,0.043083657,0,0.058268931,-0.073869934,0.006042339,0.049392748,0.055742001,0.068562741,0.030583444,0.015698869,0.015798076,0,0.006191995,-0.00913252,-0.006349253,44.84648787,-0.030264,0.423709,0.360827715,9.079463,-12.65818493,10.08879715,9.87038559,9.409068879,39.83915342,0.319148652,0.680851348,0.293257043,0
3/10/2000,-0.006042339,0.043083657,0,0.058268931,0,0.012048288,0.055398697,0.06174795,0.07456869,0.006042339,0.015698869,0.015798076,0,-0.012048288,-0.00913252,44.02857197,-0.211854,0.121059,0.343701378,9.11820208,-1.395663801,10.04793955,9.860729671,9.493113582,38.03243012,0.361701993,0.638298007,0.419145423,1
3/13/2000,0.012048288,-0.006042339,0.043083657,0,0.017910899,0.011904951,0.023953238,0.067303647,0.0736529,0,0.006042339,0.015698869,0.015798076,0,-0.012048288,46.14412723,0.453973,0.242119,0.336445494,9.177618095,23.42345042,10.0222144,9.866494381,9.611582902,35.9946763,0.22727283,0.77272717,0.573114593,0
3/14/2000,0.032403458,0.012048288,-0.006042339,0.043083657,0,0.047067504,0.041061555,0.053109843,0.096460252,0.017910899,0,0.006042339,0.015698869,-0.008658097,0,51.56576045,0.756622,0.423709,0.342678602,9.261770968,91.72935917,10.0191879,9.9064152,9.776935265,33.57338281,0.062500215,0.937499785,0.679950105,0
3/15/2000,0.008658097,0.032403458,0.012048288,-0.006042339,0.020261172,0.002869359,0.049936863,0.043930914,0.055979202,0,0.017910899,0,0.006042339,-0.002928272,-0.008658097,52.95670356,0.907947,0.242119,0.335495773,9.388811671,98.06367487,10.0085952,9.9552714,9.967318415,31.34379835,0.020407572,0.979592428,0.792246763,0
3/16/2000,0.031119847,0.008658097,0.032403458,0.012048288,0.022347296,0.056833516,0.039441704,0.086509208,0.080503259,0.020261172,0,0.017910899,0,0,-0.002928272,57.74804575,1.05927,0.423708,0.341796646,9.52964731,166.2650686,10.0191879,10.03684243,10.19651262,29.90525986,0.048387277,0.951612723,0.878561031,0
3/17/2000,-0.045591938,0.031119847,0.008658097,0.032403458,0,-0.00566576,0.02882046,0.011428647,0.058496151,0.022347296,0.020261172,0,0.017910899,-0.02882046,0,49.80250552,0.605297,0.514503,0.354132815,9.729320727,91.58675656,10.0085952,10.07128672,10.38166683,27.89339095,0.30645169,0.69354831,0.909253087,1
3/20/2000,0.023055774,-0.045591938,0.031119847,0.008658097,0.01426554,0.002836893,-0.002828868,0.031657353,0.01426554,0,0.022347296,0.020261172,0,-0.014472091,-0.02882046,53.26495535,1.543509,0.302649,0.350455399,9.901039865,103.1355284,10.0297806,10.1297988,10.54408568,25.95010325,0.177419484,0.822580516,0.884577772,0
3/21/2000,-0.017241781,0.023055774,-0.045591938,0.031119847,0.008583684,0.008583684,-0.002844964,-0.008510724,0.025975496,0.01426554,0,0.022347296,0.020261172,-0.008658097,-0.014472091,50.45407079,0.817152,0.181589,0.338393514,10.04871832,89.28826106,10.02826735,10.16899903,10.64999177,24.14562182,0.274193505,0.725806495,0.814936703,1
3/22/2000,0.008658097,-0.017241781,0.023055774,-0.045591938,0.008658097,0,0,-0.011428647,-0.017094408,0.008583684,0.01426554,0,0.022347296,-0.008733715,-0.008658097,51.82305298,0.907947,0.18159,0.327193263,10.1757218,74.74206983,10.05550575,10.21699052,10.71449268,22.71631706,0.225806228,0.774193772,0.781361961,0
3/23/2000,-0.011560869,0.008658097,-0.017241781,0.023055774,0.017595736,-0.002902771,-0.011560869,-0.011560869,-0.022989516,0.008658097,0.008583684,0.01426554,0,-0.002962977,-0.008733715,49.84545152,0.363178,0.332914,0.327601887,10.199264,48.62023235,10.07215145,10.25085835,10.73580782,21.79077553,0.290322598,0.709677402,0.752688197,1
3/24/2000,0.002902771,-0.011560869,0.008658097,-0.017241781,0.026433266,0.020498507,0,-0.008658097,-0.008658097,0.017595736,0.008658097,0.008583684,0.01426554,0,-0.002962977,50.35550018,0.453973,0.272384,0.323657752,10.955886,47.96225098,10.0842574,10.28602326,10.72546668,20.9313441,0.346938831,0.653061169,0.741021199,0
3/27/2000,-0.008733715,0.002902771,-0.011560869,0.008658097,0.014641512,0.023530495,0.017595736,-0.002902771,-0.011560869,0.026433266,0.017595736,0.008658097,0.008583684,-0.002954224,0,48.75367691,0.242119,0.211854,0.31567177,10.955886,39.77977998,10.119062,10.31138808,10.68505452,20.13330064,0.416667011,0.583332989,0.699186841,1
3/28/2000,0.008733715,-0.008733715,0.002902771,-0.011560869,0.017391813,0.026202381,0.035091364,0.029156605,0.008658097,0.014641512,0.026433266,0.017595736,0.008658097,-0.005865046,-0.002954224,50.45108594,0,0.242119,0.310418,10.92441052,50.71466897,10.1568931,10.34208532,10.63328584,18.95818987,0.485714232,0.514285768,0.648187092,0
