dates,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,distance
4/28/2000,-0.038466281,0.019048195,-0.004796172,0.049029427,0.001185537,0.00237248,-0.004728141,0.007134394,0.071195702,0.017657904,0.005878912,0.004761914,0.012642393,-0.033778845,-0.007151401,47.74661421,-0.5,2.0625,2.400503721,53.62201837,3.582741335,51.384375,51.27529762,50.9598539,9.10458635,0.50671785,0.49328215,0.605886116,0
5/8/2000,0.077777701,-0.038466281,0.019048195,-0.004796172,0.00911168,0.045225098,0.046412042,0.03931142,0.051173956,0.001185537,0.017657904,0.005878912,0.004761914,-0.00573725,-0.033778845,55.87074162,3.1875,4.125,2.523682026,46.984375,186.5869854,51.453125,51.63154762,51.54687229,9.111004561,0,1,0.675837065,5
5/10/2000,-0.042855429,0.077777701,-0.038466281,0.019048195,0.01516064,-0.011507607,0.024605811,0.025792755,0.018692133,0.00911168,0.001185537,0.017657904,0.005878912,-0.009445171,-0.00573725,51.07643972,1.6875,2.4375,2.517526167,46.984375,82.45701886,51.578125,51.7610119,52.09800325,8.522385089,0.284069098,0.715930902,0.698869695,1
5/11/2000,0.034887259,-0.042855429,0.077777701,-0.038466281,0.012507269,0.039175516,0.012507269,0.048620687,0.049807631,0.01516064,0.00911168,0.001185537,0.017657904,-0.00573725,-0.009445171,54.48667045,2.5,2.5,2.516274298,47.31,147.4492811,51.725,52.05714286,52.78159091,8.41612205,0.075046904,0.924953096,0.78692697,0
5/12/2000,-0.009761777,0.034887259,-0.042855429,0.077777701,0.027844026,0,0.026668247,0,0.036113418,0.012507269,0.01516064,0.00911168,0.001185537,0,-0.00573725,53.35192575,6.65625,1.5625,2.448147563,47.79015,95.33046111,51.8609375,52.28869048,53.47997835,7.880679085,0.138836773,0.861163227,0.816904919,0
5/15/2000,0.015459798,-0.009761777,0.034887259,-0.042855429,0.012550079,0.036955707,0.00911168,0.035779927,0.00911168,0.027844026,0.012507269,0.01516064,0.00911168,-0.003450262,0,54.95642769,5.25,0.96875,2.342476308,48.241491,120.5762494,52.0359375,52.58764881,54.12921266,7.562183778,0.037523452,0.962476548,0.87683601,0
5/17/2000,-0.029990714,0.015459798,-0.009761777,0.034887259,0.005865119,-0.018540508,0.005865119,-0.021978907,0.00468934,0.012550079,0.027844026,0.012507269,0.01516064,-0.008269391,-0.003450262,51.2969246,3.625,2.3125,2.340335143,48.66575154,40.59781396,52.2859375,52.71517857,54.534977,7.356203762,0.232645403,0.767354597,0.871292719,1
5/19/2000,0.024292693,-0.029990714,0.015459798,-0.009761777,0.002280503,0.032410244,0.008004617,0.032410244,0.004566218,0.005865119,0.012550079,0.027844026,0.012507269,-0.013793322,-0.008269391,53.9633995,2.4375,1.5,2.280311204,49.06455645,105.8128079,52.3578125,52.94389881,54.83285173,7.03501425,0.075046904,0.924953096,0.888263498,1
5/26/2000,-0.040821995,0.024292693,-0.029990714,0.015459798,0.004683849,-0.023095715,0.007034027,-0.017371601,0.007034027,0.002280503,0.005865119,0.012550079,0.027844026,-0.018957914,-0.013793322,49.1349766,0.5,2.4375,2.291538976,49.43943306,16.42055523,52.3515625,52.95744048,54.81409903,6.962058289,0.45,0.55,0.832009589,4
6/6/2000,0.086614473,-0.040821995,0.024292693,-0.029990714,0.016474837,0.074610864,0.0468313,0.076961041,0.052555414,0.004683849,0.002280503,0.005865119,0.012550079,-0.001108033,-0.018957914,57.93622833,4.25,4.875,2.476071906,49.79181708,187.7562482,52.5796875,53.42395833,55.08493236,7.327169128,0.015037594,0.984962406,0.81744527,5
